image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,5,0.886056,truck,bus,False
drive_022,2,2,0.940372,bus,van,False
drive_022,3,3,0.830903,car,car,True
drive_022,4,1,0.902239,car,car,True
drive_022,5,4,0.797476,car,car,True
drive_033,1,10,0.795686,car,car,True
drive_033,2,1,0.963074,bus,van,False
drive_033,3,12,0.964318,bus,van,False
drive_033,4,2,0.811612,truck,bus,False
drive_033,5,3,0.924492,car,car,True
drive_033,6,4,0.754972,car,car,True
drive_033,7,9,0.842187,car,car,True
drive_033,9,7,0.918823,car,car,True
drive_033,10,5,0.904064,car,car,True
drive_033,14,8,0.894844,car,car,True
drive_033,15,6,0.793574,car,car,True
drive_033,19,11,0.890895,car,car,True
drive_038,1,9,0.852737,truck,bus,False
drive_038,2,15,0.879646,van,truck,False
drive_038,7,1,0.976229,car,car,True
drive_038,8,4,0.969573,car,car,True
drive_038,9,7,0.810361,car,car,True
drive_038,10,8,0.9182,car,car,True
drive_038,11,10,0.855626,car,car,True
drive_038,12,6,0.884701,car,car,True
drive_038,13,11,0.881871,car,car,True
drive_038,16,12,0.844047,car,car,True
drive_038,17,13,0.81833,car,car,True
drive_038,18,14,0.827649,car,car,True
drive_038,19,17,0.89318,car,car,True
drive_038,20,16,0.834968,car,car,True
drive_038,21,5,0.929654,truck,bus,False
drive_038,22,3,0.925326,car,car,True
drive_038,23,2,0.928838,car,car,True
drive_008,2,1,0.870439,truck,bus,False
drive_008,3,14,0.874573,car,car,True
drive_008,4,13,0.638454,car,car,True
drive_008,5,9,0.968745,bus,van,False
drive_008,6,7,0.815675,car,car,True
drive_008,7,3,0.939149,van,truck,False
drive_008,8,2,0.861633,car,car,True
drive_008,9,5,0.802582,van,truck,False
drive_008,16,11,0.900788,car,car,True
drive_008,19,6,0.883658,car,car,True
drive_008,20,16,0.907094,car,car,True
drive_008,24,4,0.895062,car,car,True
drive_008,25,15,0.187709,car,car,True
drive_008,26,12,0.891768,van,truck,False
